@villelaamanda;Djanilson Faca Cega;1347581719000;NULL;
@HellenRibeiro19;facacegapb;1347588020000;NULL;
@_JoaoPaulo5;facacegapb;1347588046000;NULL;
@AninhaLu1000;facacegapb;1347588091000;NULL;
@dricaunhas;facacegapb;1347588315000;NULL;
@facacegapb;facacegapb;1347588767000;NULL;
@AninhaLu1000;facacegapb;1347588812000;NULL;
@VauRodrigues_JP;facacegapb;1347589061000;NULL;
@AninhaLu1000;facacegapb;1347589234000;NULL;
@facacegapb;facacegapb;1347589287000;NULL;
@VauRodrigues_JP;facacegapb;1347589493000;NULL;
@facacegapb;facacegapb;1347589545000;NULL;
@AninhaLu1000;facacegapb;1347589624000;NULL;
@RODRIGOPEGADOR_;facacegapb;1347589771000;-7.1015595,-34.8467652;
@facacegapb;facacegapb;1347589855000;NULL;
@VauRodrigues_JP;facacegapb;1347589984000;NULL;
@RODRIGOPEGADOR_;facacegapb;1347590384000;-7.1015595,-34.8467652;
@facacegapb;facacegapb;1347590614000;NULL;
@GlicelySione;facacegapb;1347597884000;NULL;
@VauRodrigues_JP;facacegapb;1347620076000;NULL;
@Heleno_Mota;facacegapb;1347627038000;NULL;
@marketing_106;facacegapb;1347627210000;NULL;
@Forca_Tatica_PM;facacegapb;1347629160000;-7.110192,-34.8524596;
@Forca_Tatica_PM;facacegapb;1347629434000;-7.110192,-34.8524596;
@Forca_Tatica_PM;facacegapb;1347629481000;-7.110192,-34.8524596;
@Forca_Tatica_PM;facacegapb;1347629804000;-7.110192,-34.8524596;
@Forca_Tatica_PM;facacegapb;1347630142000;-7.1111843,-34.8520884;
@Forca_Tatica_PM;facacegapb;1347630287000;-7.110192,-34.8524596;
@Forca_Tatica_PM;facacegapb;1347630417000;-7.110192,-34.8524596;
@Forca_Tatica_PM;facacegapb;1347630649000;-7.110192,-34.8524596;
@Forca_Tatica_PM;facacegapb;1347630750000;-7.110192,-34.8524596;
@ailtonservo;facacegapb;1347631475000;NULL;
@_piinto;facacegapb;1347631538000;NULL;
@_piinto;facacegapb;1347631549000;NULL;
@Xerxes_Gouveia;facacegapb;1347631778000;NULL;
@anaprsousa;facacegapb;1347633190000;NULL;
@SamukaFilhoPB;facacegapb;1347648258000;NULL;
@cleocruzbarboza;facacegapb;1347648290000;NULL;
@LeticiaXavantes;facacegapb;1347662004000;NULL;
@_NathV;Djanilson Faca Cega;1347665815000;NULL;
@AlexPontesPB;facacegapb;1347671307000;NULL;
@emersonmofi;facacegapb;1347680573000;-7.12635568,-34.82369525;
@emersonmofi;facacegapb;1347680573000;NULL;
@SamukaFilhoPB;facacegapb;1347680742000;NULL;
@irispleon;facacega;1347686198000;NULL;
@irispleon;facacegapb;1347715675000;NULL;
@JeanneBaciquet;facacegapb;1347718960000;NULL;
@_piinto;facacegapb;1347724280000;NULL;
@_piinto;facacegapb;1347724905000;NULL;
@VauRodrigues_JP;facacegapb;1347736390000;NULL;
@medley_ceo;facacegapb;1347754327000;NULL;
@Williamm49;facacegapb;1347754549000;NULL;
@TenenteOliveira;facacegapb;1347755453000;NULL;
@Leandroparana;facacegapb;1347755702000;NULL;
@hyldinho;facacegapb;1347756632000;NULL;
@michel_costa_;facacegapb;1347761757000;NULL;
@JulianaMirtes8;facacegapb;1347806410000;NULL;
@RODRIGOPEGADOR_;facacegapb;1347806794000;-7.1015595,-34.8467652;
@matariguedes;facacegapb;1347808445000;NULL;
@RODRIGOPEGADOR_;facacegapb;1347808640000;-7.1015595,-34.8467652;
@valjvf;facacega;1347813115000;NULL;
