@mayaramalho;DanielChianca;1347574761000;NULL;
@DanielChianca;DanielChianca;1347579427000;NULL;
@brunamarsicano;DanielChianca;1347590296000;NULL;
@thalesrochaa;DanielChianca;1347616966000;NULL;
@marketing_103;DanielChianca;1347617124000;NULL;
@TaynaSouto;Daniel Chianca;1347725146000;NULL;
@anamarturismo;DanielChianca;1347888357000;NULL;
@karinacantareli;DanielChianca;1347889090000;NULL;
@Damacieudo;DanielChianca;1347912446000;NULL;
@mamuga_;DanielChianca;1347912602000;NULL;
@TaynaSouto;DanielChianca;1347912698000;NULL;
@DanielChianca;DanielChianca;1347912987000;NULL;
@DanielChianca;DanielChianca;1347963937000;NULL;
@anaclaudiav_;DanielChianca;1347963953000;NULL;
@magnopb;DanielChianca;1347964221000;NULL;
@Carlus_Omagnu;DanielChianca;1347964653000;NULL;
@Damacieudo;DanielChianca;1347981031000;-7.0760914,-34.8382287;
@senadorvital;DanielChianca;1347992844000;NULL;
@brunamarsicano;DanielChianca;1348055026000;NULL;
@mamuga_;DanielChianca;1348074169000;NULL;
@PMDBParaiba15;DanielChianca;1348086756000;NULL;
@philippeclima;DanielChianca;1348168105000;NULL;
@NorvisSimancas;DanielChianca;1348180644000;NULL;
@brunamarsicano;DanielChianca;1348230914000;NULL;
