@J15ZE;zé maranhão;1347397857000;
@zemaranhaojp;zé maranhão;1347399863000;
@tavinhosantosjp;zé maranhão;1347399997000;
@zemaranhaojp;zé maranhão;1347400034000;
@tavinhosantosjp;zé maranhão;1347400157000;
@tavinhosantosjp;zé maranhão;1347400341000;
@tavinhosantosjp;zé maranhão;1347400394000;
@zemaranhaojp;zé maranhão;1347402137000;
@Rodrigo_samu;zemaranhaojp;1347402628000;
@Rodrigo_samu;zemaranhaojp;1347402774000;
@ManinhoSerrano;zemaranhaojp;1347403691000;
@bergmacena;zemaranhaojp;1347405897000;
@vanessaddelgado;zé maranhão;1347406616000;
@nina_ramalho;zé maranhão;1347407933000;
@AnneEliiza;zé maranhão;1347408562000;
@vanessaddelgado;zemaranhaojp;1347408801000;
@CrisL;zemaranhaojp;1347408829000;
@Xandyvilar;zemaranhaojp;1347409108000;
@17Serginho;zemaranhaojp;1347409405000;
@and_medeiros;zemaranhaojp;1347410130000;
@jrbom;zemaranhaojp;1347410598000;
@Vote_CHALITA_15;#Equipe15;1347410680000;
@Tuxe_oficial;zé maranhão;1347413044000;
@ZeLimeiriando;zemaranhaojp;1347413973000;
@palmeiracamila;zemaranhaojp;1347414077000;
@Hellensoma;zemaranhaojp;1347414205000;
@AugustaMariz;zé maranhão;1347414579000;
@Vote_CHALITA_15;#Equipe15;1347415285000;
@DaniloDAC_;#Equipe15;1347415350000;
@Rodrig_Fonseca;zemaranhaojp;1347415451000;
@Rodrig_Fonseca;zé maranhão;1347415596000;
@ouvidoriapeople;zemaranhaojp;1347416449000;
@nina_ramalho;zemaranhaojp;1347416552000;
@AguiarKennedy;zé maranhão;1347419838000;
@AguiarKennedy;zé maranhão;1347419967000;
@AguiarKennedy;zé maranhão;1347420125000;
@andersonluizjp;zé maranhão;1347422674000;
@jessemonteiro;zé maranhão;1347429118000;
@Rodrigo_samu;zemaranhaojp;1347430385000;
@Rodrigo_samu;zemaranhaojp;1347430464000;
@zemakplan;zemaranhaojp;1347436175000;
@VozDaParaiba;zemaranhaojp;1347444323000;
@Maria_F;#Equipe15;1347448993000;
