@FabioCosta36;#Estela40;Sun Sep 09 14:23:36 GMT-03:00 2012;
@laylson;Estelizabel;1347292056000;
@victormpaiva;Estelizabel;1347292067000;
@marceloweick;Estelizabel;1347292080000;
@romulogondim;Estelizabel;1347292088000;
@LeydianeS;Estelizabel;1347292094000;
@EugenioFDias;Estelizabel;1347292098000;
@francinaldocb;Estelizabel;1347292098000;
@lmascolo;Estelizabel;1347292126000;
@bradsoncamelo;Estelizabel;1347292136000;
@Adautojr12;Estelizabel;1347292157000;
@andreia_barros;Estelizabel;1347292165000;
@Jeremiasjl;#Estela40;1347292179000;
@Juventude40JP;Estelizabel;1347292183000;
@denisemiranda_;#Estela40;1347292189000;
@RafaelaIsmael;#Estela40;1347292201000;
@marceloweick;Estelizabel;1347292212000;
@bradsoncamelo;Estelizabel;1347292292000;
@flaviomoreirajp;Estelizabel;1347292295000;
@Juventude40JP;Estelizabel;1347292347000;
@AdautoBrito;Estelizabel;1347292352000;
@Jeremiasjl;#Estela40;1347292353000;
@palmeiracamila;#Estela40;1347292358000;
@franci_jp;#Estela40;1347292368000;
@murilomussumago;Estelizabel;1347292369000;
@marceloweick;#Estela40;1347292396000;
@bradsoncamelo;Estelizabel;1347292491000;
@murilomussumago;Estelizabel;1347292506000;
@informe40;#Estela40;1347292520000;
@informe40;#Estela40;1347292526000;
@franci_jp;#Estela40;1347292532000;
@JDEMJP;#Estela40;1347292539000;
@marceloweick;#Estela40;1347292543000;
@marceloweick;#Estela40;1347292549000;
@agesantana;#Estela40;1347292556000;
@Juventude40JP;#Estela40;1347292565000;
@Jeremiasjl;#Estela40;1347292576000;
@Jeremiasjl;#Estela40;1347292610000;
@bradsoncamelo;Estelizabel;1347292622000;
